279;Burke;USA;Buckley class destroyer escort;1943;to Colombia 1968, scrapped 1974
280;Burnham;USA�UK;Town class destroyer;1940;scrapped 1948
281;Burns;USA;Fletcher-class destroyer;1943;decommissioned 1946, sunk as target 1974
282;Burrows;USA;Cannon class destroyer escort;1943;to Netherlands 1950, scrapped 1968
283;Burwell;USA�UK;Town class destroyer;1940;scrapped 1947
284;Burza;Poland;Wicher class destroyer;1932;Scrapped 1977
285;Bush;USA;Fletcher-class destroyer;1943;sunk 6 April 1945
286;Butler;USA;Gleaves class destroyer;1942;scrapped 1948
287;Buxton;USA�UK�Canada;Town-class destroyer;1942;scrapped 1945
288;Cabana;USA;Evarts class destroyer escort;1943;scrapped 1947
289;Cabot;USA;Independence class light carrier;1943;decommissioned 21 January 1955, sold to Spain as Dedalo 1967, scrapped 2002
290;Caio Duilio;Italy;Andrea Doria-class battleship;1905;1956
291;Cairo;UK;C class light cruiser;2019;lost 12 August 1942
292;Calcaterra;USA;Edsall class destroyer escort;1943;scrapped 1974
293;Calcutta;UK;C class light cruiser;2019;lost 1 June 1941
294;Caldas;Colombia;destroyer;;
295;HMS/HMCS Caldwell;USA�UK�Canada;Town class destroyer;1940;scrapped 1944
296;USS Caldwell;USA;Benson class destroyer;1942;decommissioned 1946, scrapped 1966
297;Caledon;UK;C-class cruiser;2017;scrapped 1948
298;California;USA;Tennessee-class battleship;2021;Decommissioned 14 February 1947, scrapped 1959
299;Callaghan;USA;Fletcher-class destroyer;1943;sunk 28 July 1945
300;Calypso;UK;C class light cruiser;2017;scrapped Jan 1948
301;Cameron;USA�UK;Town class destroyer;1940;constructive loss 5 December 1940
302;Camp;USA;Edsall class destroyer escort;1943;to South Vietnam 1971, to Philippines 1976
303;Campania;UK;escort aircraft carrier;1944;Decommissioned 30 December 1945, scrapped 1955
304;Campbeltown;USA�UK�Netherlands;Town class destroyer;1905;expended as bomb-ship at St Nazaire, 29 March 1942
305;HMAS Canberra;Australia;County class heavy cruiser;2028;scuttled 9 August 1942
306;USS Canberra;USA;Baltimore class heavy cruiser;1943;decommissioned 1970, scrapped 1980
307;Canfield;USA;Evarts class destroyer escort;1943;scrapped 1947
308;Cannon;USA�Brazil;Cannon class destroyer escort;1943;to Brazil 19 December 1944 as Baependi
309;Cape Esperance;USA;Casablanca-class escort carrier;1944;scrapped 1959
310;Cape Gloucester;USA;Commencement Bay-class escort carrier;1945;decommissioned 1946, scrapped 1971
311;Caperton;USA;Fletcher-class destroyer;1943;decommissioned 1960, sunk as target
312;Capetown;UK;C class light cruiser;2022;Scrapped June 1946
313;Capitan O'Brien;Chile;Capitan O'Brien class submarine;1905;1957
314;Capitan Thompson;Chile;Capitan O'Brien class submarine;1905;1958
315;Capps;USA;Fletcher-class destroyer;1943;To Spain 1957, scrapped 1985
316;Caradoc;UK;C class light cruiser;2017;scrapped 1946
317;Card;USA;Bogue-class escort carrier;1942;scrapped 1971
318;Cardiff;UK;C class light cruiser;2017;scrapped 1946
319;Carinthia;UK;Armed Merchant Cruiser;1939;torpedoed 6 June 1940, foundered the next day
320;Carlisle;UK;C class light cruiser;2018;constructive total loss 9 October 1942, scrapped 1948
321;Carlson;USA;Evarts class destroyer escort;1943;scrapped 1946
322;Carmick;USA;Gleaves class destroyer;1942;decommissioned 1954, scrapped 1972
323;Carroll;USA;Cannon class destroyer escort;1943;decommissioned 1946, scrapped 1966
324;Carter;USA;Cannon class destroyer escort;1944;to Republic of China 1948, scrapped 1973
325;Casablanca;USA;Casablanca class escort aircraft carrier;1943;Decommissioned 10 June 1946, scrapped 1947
326;Case;USA;Mahan class destroyer;1936;scrapped 1948
327;Cassin;USA;Mahan class destroyer;1936;"destroyed 7 December 1941 but ""rebuilt,"" scrapped 1948"
328;Cassin Young;USA;Fletcher-class destroyer;1943;decommissioned 1960, museum ship at Boston, MA
329;Castleton;USA�UK;Town class destroyer;1940;scrapped 1947
330;Catamarca;Argentina;Catamarca class destroyer;1905;Sold 1959
331;Cates;USA;Cannon class destroyer escort;1943;to France 1950, scrapped 1959
332;Cauvery;India;Modified Black Swan class sloop;;
333;Cavalla;USA;Gato class submarine;1944;"decommissioned 1968; museum at Galveston Texas"
334;Cecil J. Doyle;USA;Butler class destroyer escort;1944;decommissioned 1946, sunk as target 1967
335;Ceres;UK;C class light cruiser;2017;scrapped 1946
336;Cervantes;Argentina;Cervantes class destroyer;;Discarded 24 June 1961
337;Ceylon;UK;Fiji class cruiser;1943;sold to Peru 1959, renamed Colonel Bolognesi
338;Chacabuco;Chile;Presidente Errazuriz class cruiser;;Discarded 1952
339;Chaffee;USA;Rudderow class destroyer escort;1944;decommissioned 1946, scrapped 1948
340;Chambers;USA;Edsall class destroyer escort;1943;scrapped 1975
341;Champlin;USA;Benson class destroyer;1942;decommissioned 1947, scrapped 1972
342;Chao Ho;China;Chao Ho class cruiser;2011;sunk 28 September 1937
343;Chandler;USA;Clemson class destroyer-minesweeper;2019;scrapped 1946
344;Charger;UK/�USA;Avenger class;1941;to USN 4 October 1941, sold as merchant 1947
345;Charles Ausburne;USA;Fletcher-class destroyer;1942;to West Germany 1960, scrapped 1968
346;Charles E. Brannon;USA;Butler class destroyer escort;1944;decommissioned 1960, scrapped 1969
347;Charles F. Hughes;USA;Benson class destroyer;1940;decommissioned 1946, sunk as target 1969
348;Charles J. Badger;USA;Fletcher-class destroyer;1943;decommissioned 1957, scrapped 1974
349;Charles J. Kimmel;USA;Rudderow class destroyer escort;1944;decommissioned 1947, sunk as target 1969
350;Charles Lawrence;USA;Buckley class destroyer escort;1943;scrapped 1965
351;Charles P. Cecil;USA;Gearing class destroyer;1945;to Greece 1980, scrapped 2003
352;Charles R. Greer;USA;Evarts class destroyer escort;1943;scrapped 1947
